"season","game_type","week","gameday","away_team","away_score","home_team","home_score","location","overtime","winner","loser","away_offensive_epa","away_passing_epa","away_rushing_epa","away_defensive_epa","away_defensive_pass_epa","away_defensive_rush_epa","home_offensive_epa","home_passing_epa","home_rushing_epa","home_defensive_epa","home_defensive_pass_epa","home_defensive_rush_epa"
2005,"WC",18,"2006-01-07","WAS",17,"TB",10,"Home",0,"WAS","TB",0.0261144430794643,0.100216735027407,-0.0828846267097551,-0.0252298125578466,-0.0327476907037189,-0.0938093235025442,-0.0376129337717608,-0.0640146379448168,-0.0659067416943124,-0.0567109155275362,-0.033352734975137,-0.181281997684927
2005,"WC",18,"2006-01-07","JAX",3,"NE",28,"Home",0,"NE","JAX",0.0204953891217164,0.112858387819177,-0.0771002620940887,-0.0617827182840122,-0.0330582381023882,-0.112187443348441,0.0848684720297707,0.180538610294941,-0.0802042260124296,0.0520940866887143,0.119682459157344,-0.0924037392550569
2005,"WC",18,"2006-01-08","CAR",23,"NYG",0,"Home",0,"CAR","NYG",0.040969711618853,0.122600686976922,-0.116250704683604,-0.071053900939847,-0.0522345474414997,-0.213181222149923,0.0521824108405007,0.0886164529364759,-0.0231918531161603,-0.0293669931462173,0.0224788041840258,-0.161423534298172
2005,"WC",18,"2006-01-08","PIT",31,"CIN",17,"Home",0,"PIT","CIN",0.0548190820767872,0.20153802794171,-0.0669510036153365,-0.0501323301481992,-0.0498313605907358,-0.142647401780753,0.0968915163172653,0.16023069980628,0.0231046920858321,0.0435418094695792,0.0375717353274006,-0.0226280433953457
2005,"DIV",19,"2006-01-14","WAS",10,"SEA",20,"Home",0,"SEA","WAS",0.0261144430794643,0.100216735027407,-0.0828846267097551,-0.0252298125578466,-0.0327476907037189,-0.0938093235025442,0.116129840808039,0.20547123205765,0.1003430075278,-0.0234201474153184,0.043242363548282,-0.189020872702241
2005,"DIV",19,"2006-01-14","NE",13,"DEN",27,"Home",0,"DEN","NE",0.0848684720297707,0.180538610294941,-0.0802042260124296,0.0520940866887143,0.119682459157344,-0.0924037392550569,0.080582071582726,0.111107298052962,0.0671758744138336,-0.0294477088199118,-0.0322582351124454,-0.0915884333126412
2005,"DIV",19,"2006-01-15","PIT",21,"IND",18,"Home",0,"PIT","IND",0.0548190820767872,0.20153802794171,-0.0669510036153365,-0.0501323301481992,-0.0498313605907358,-0.142647401780753,0.13331506505907,0.337267284606976,-0.00709735181298086,-0.0246917784929129,-0.0498310884121807,-0.0742157021188624
2005,"DIV",19,"2006-01-15","CAR",29,"CHI",21,"Home",0,"CAR","CHI",0.040969711618853,0.122600686976922,-0.116250704683604,-0.071053900939847,-0.0522345474414997,-0.213181222149923,-0.10796231086693,-0.146834436314052,-0.12876348031745,-0.142304661941373,-0.186906694466573,-0.136122981653062
2005,"CON",20,"2006-01-22","PIT",34,"DEN",17,"Home",0,"PIT","DEN",0.0548190820767872,0.20153802794171,-0.0669510036153365,-0.0501323301481992,-0.0498313605907358,-0.142647401780753,0.080582071582726,0.111107298052962,0.0671758744138336,-0.0294477088199118,-0.0322582351124454,-0.0915884333126412
2005,"CON",20,"2006-01-22","CAR",14,"SEA",34,"Home",0,"SEA","CAR",0.040969711618853,0.122600686976922,-0.116250704683604,-0.071053900939847,-0.0522345474414997,-0.213181222149923,0.116129840808039,0.20547123205765,0.1003430075278,-0.0234201474153184,0.043242363548282,-0.189020872702241
2005,"SB",21,"2006-02-05","SEA",10,"PIT",21,"Neutral",0,"PIT","SEA",0.116129840808039,0.20547123205765,0.1003430075278,-0.0234201474153184,0.043242363548282,-0.189020872702241,0.0548190820767872,0.20153802794171,-0.0669510036153365,-0.0501323301481992,-0.0498313605907358,-0.142647401780753
